Member Name,Summary
"M:AlibreScript.API.Assembly.GetAxis(System.String)","Gets an axis from an axis name"
"M:AlibreScript.API.Assembly.GetPoint(System.String)","Gets a point on the assembly using the point name. The point must have been created in a script"
"M:AlibreScript.API.Assembly.GetParameter(System.String)","Gets a parameter with a specific name"
"M:AlibreScript.API.Assembly.GetCustomProperty(System.String)","Gets the value of a custonm property"
"M:AlibreScript.API.Assembly.SetCustomProperty(System.String,System.String)","Sets the value of a custom property The custom property must already be defined on the assembly or defined on the user's PC"
"M:AlibreScript.API.Assembly.GetConfiguration(System.String)","Gets a configuration with a specific name"
"M:AlibreScript.API.Assembly.GetActiveConfiguration","Gets the currently active configuration"
"M:AlibreScript.API.Assembly.AddPlane(System.String,AlibreScript.API.ISketchSurface,System.Double)","Creates a plane based on the offset from an existing plane"
"M:AlibreScript.API.Assembly.AddPlane(System.String,IronPython.Runtime.List,IronPython.Runtime.List)","Adds a plane using a normal vector and a point on the plane"
"M:AlibreScript.API.Assembly.AddPlane(System.String,AlibreScript.API.ISketchSurface,AlibreScript.API.Axis,System.Double)","Creates a new plane at an angle to an existing plane"
"M:AlibreScript.API.Assembly.AddParameter(System.String,AlibreScript.API.ParameterTypes,System.Double)","Adds a parameter to the assembly"
"M:AlibreScript.API.Assembly.AddParameter(System.String,AlibreScript.API.ParameterTypes,System.String)","Adds a parameter to the assembly NOTE: DOESN'T SEEM TO WORK IN GD V16 - THROWS EXCEPTION ABOUT TRANSACTION ALREADY BEING OPEN"
"M:AlibreScript.API.Assembly.AddConfiguration(System.String)","Adds a configuration to the assembly"
"M:AlibreScript.API.Assembly.AddConfiguration(System.String,System.String)","Adds a configuration to the assembly using another configuration as a base"
"M:AlibreScript.API.Assembly.AddPlane(System.String,IronPython.Runtime.List,IronPython.Runtime.List,IronPython.Runtime.List)","Creates a plane using three points"
"M:AlibreScript.API.Assembly.AddAxis(System.String,AlibreScript.API.ISketchSurface,AlibreScript.API.ISketchSurface)","Creates an axis based on the intersection of two planes/faces"
"M:AlibreScript.API.Assembly.AddAxis(System.String,IronPython.Runtime.List,IronPython.Runtime.List)","Creates an axis based on two points"
"M:AlibreScript.API.Assembly.AddPoint(System.String,System.Double,System.Double,System.Double)","Adds a point to the assembly"
"M:AlibreScript.API.Assembly.AddPoints(System.String,IronPython.Runtime.List)","Adds a set of points to the part"
"M:AlibreScript.API.Assembly.Regenerate","Regenerates the assembly"
"M:AlibreScript.API.Assembly.Save","Saves the assembly using the current path and file name"
"M:AlibreScript.API.Assembly.Save(System.String)","Saves the assembly to a specific folder"
"M:AlibreScript.API.Assembly.SaveAs(System.String,System.String)","Saves the assembly to a specific folder with a new name"
"M:AlibreScript.API.Assembly.SaveAll(System.String)","Save the assembly and all parts/sub-assemblies to a folder"
"M:AlibreScript.API.Assembly.SaveSnapshot(System.String,System.Int32,System.Int32,System.Boolean,System.Boolean)","Saves the current view as a bitmap image"
"M:AlibreScript.API.Assembly.Close","Closes the assembly If it is unsaved then changes will be lost"
"M:AlibreScript.API.Assembly.SaveThumbnail(System.String,System.Int32,System.Int32)","Saves a thumbnail image of the assembly"
"M:AlibreScript.API.Assembly.AddPart(System.String,System.String)","Adds a part to the assembly at the origin"
"M:AlibreScript.API.Assembly.AddPart(System.String,System.String,System.Double,System.Double,System.Double)","Adds a part to the assembly"
"M:AlibreScript.API.Assembly.AddPart(System.String,System.String,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Adds a part to the assembly"
"M:AlibreScript.API.Assembly.AddPart(AlibreScript.API.Part)","Adds a part to the assembly at the origin"
"M:AlibreScript.API.Assembly.AddPart(AlibreScript.API.Part,System.Double,System.Double,System.Double)","Adds a part to the assembly"
"M:AlibreScript.API.Assembly.AddPart(System.String)","Adds a part to the assembly at the origin"
"M:AlibreScript.API.Assembly.AddPart(System.String,System.Double,System.Double,System.Double)","Adds a part to the assembly"
"M:AlibreScript.API.Assembly.AddPart(System.String,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Adds a part to the assembly"
"M:AlibreScript.API.Assembly.GetPartOrientation(AlibreScript.API.AssembledPart)","Gets the orientation of a part in an assembly"
"M:AlibreScript.API.Assembly.GetPartOrientation(System.String)","Gets the orientation of a part in an assembly"
"M:AlibreScript.API.Assembly.DisplayUnits","Gets the display units for the assembly"
"M:AlibreScript.API.Assembly.AddPart(AlibreScript.API.Part,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Adds a part to the assembly"
"M:AlibreScript.API.Assembly.AddNewPart(System.String,System.Double,System.Double,System.Double)","Adds a new part to the assembly"
"M:AlibreScript.API.Assembly.GetPart(System.String)","Gets a part in the assembly"
"M:AlibreScript.API.Assembly.GetSubAssembly(System.String)","Gets a sub-assembly in the assembly"
"M:AlibreScript.API.Assembly.DuplicatePart(System.String,System.Double,System.Double,System.Double)","Duplicates a part in the assembly"
"M:AlibreScript.API.Assembly.DuplicatePart(AlibreScript.API.AssembledPart,System.Double,System.Double,System.Double)","Duplicates a part in the assembly"
"M:AlibreScript.API.Assembly.DuplicatePart(System.String,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Duplicates a part in the assembly"
"M:AlibreScript.API.Assembly.DuplicatePart(AlibreScript.API.AssembledPart,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Duplicates a part in the assembly"
"M:AlibreScript.API.Assembly.DuplicateSubAssembly(AlibreScript.API.AssembledSubAssembly,System.Double,System.Double,System.Double)","Duplicates a sub-assembly in the assembly"
"M:AlibreScript.API.Assembly.DuplicateSubAssembly(System.String,System.Double,System.Double,System.Double)","Duplicates a sub-assembly in the assembly"
"M:AlibreScript.API.Assembly.DuplicateSubAssembly(AlibreScript.API.AssembledSubAssembly,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Duplicates a sub-assembly in the assembly"
"M:AlibreScript.API.Assembly.DuplicateSubAssembly(System.String,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Duplicates a sub-assembly in the assembly"
"M:AlibreScript.API.Assembly.AnchorPart(System.String)","Anchors a part"
"M:AlibreScript.API.Assembly.AnchorPart(AlibreScript.API.AssembledPart)","Anchors a part"
"M:AlibreScript.API.Assembly.AnchorSubAssembly(System.String)","Anchors a sub-assembly"
"M:AlibreScript.API.Assembly.UnanchorPart(System.String)","Un-anchors a part"
"M:AlibreScript.API.Assembly.UnanchorPart(AlibreScript.API.AssembledPart)","Un-anchors a part"
"M:AlibreScript.API.Assembly.UnanchorSubAssembly(System.String)","Un-anchors a sub-assembly"
"M:AlibreScript.API.Assembly.HidePart(System.String)","Hides a part"
"M:AlibreScript.API.Assembly.HidePart(AlibreScript.API.AssembledPart)","Hides a part"
"M:AlibreScript.API.Assembly.HideSubAssembly(System.String)","Hides a sub-assembly"
"M:AlibreScript.API.Assembly.ShowPart(System.String)","Shows a part"
"M:AlibreScript.API.Assembly.ShowPart(AlibreScript.API.AssembledPart)","Shows a part"
"M:AlibreScript.API.Assembly.ShowSubAssembly(System.String)","Shows a sub-assembly"
"M:AlibreScript.API.Assembly.SuppressPart(System.String)","Suppresses a part"
"M:AlibreScript.API.Assembly.SuppressPart(AlibreScript.API.AssembledPart)","Suppresses a part"
"M:AlibreScript.API.Assembly.SuppressSubAssembly(System.String)","Suppresses a sub-assembly"
"M:AlibreScript.API.Assembly.UnsuppressPart(System.String)","Un-suppresses a part"
"M:AlibreScript.API.Assembly.UnsuppressPart(AlibreScript.API.AssembledPart)","Un-suppresses a part"
"M:AlibreScript.API.Assembly.UnsuppressSubAssembly(System.String)","Un-suppresses a sub-assembly"
"M:AlibreScript.API.Assembly.MovePart(System.String,System.Double,System.Double,System.Double,System.Boolean)","Moves a part"
"M:AlibreScript.API.Assembly.MovePart(AlibreScript.API.AssembledPart,System.Double,System.Double,System.Double,System.Boolean)","Moves a part"
"M:AlibreScript.API.Assembly.MoveSubAssembly(System.String,System.Double,System.Double,System.Double,System.Boolean)","Moves a sub-assembly"
"M:AlibreScript.API.Assembly.MoveSubAssembly(AlibreScript.API.AssembledSubAssembly,System.Double,System.Double,System.Double,System.Boolean)","Moves a sub-assembly"
"M:AlibreScript.API.Assembly.MoveParts(IronPython.Runtime.List,System.Double,System.Double,System.Double,System.Boolean)","Moves a set of parts"
"M:AlibreScript.API.Assembly.MoveSubAssemblies(IronPython.Runtime.List,System.Double,System.Double,System.Double,System.Boolean)","Moves a set of sub-assemblies"
"M:AlibreScript.API.Assembly.RotatePart(System.String,System.Double,System.Double,System.Double,System.Boolean)","Rotates a part"
"M:AlibreScript.API.Assembly.RotatePart(AlibreScript.API.AssembledPart,System.Double,System.Double,System.Double,System.Boolean)","Rotates a part"
"M:AlibreScript.API.Assembly.RotateSubAssembly(System.String,System.Double,System.Double,System.Double,System.Boolean)","Rotates a sub-assembly"
"M:AlibreScript.API.Assembly.RotateSubAssembly(AlibreScript.API.AssembledSubAssembly,System.Double,System.Double,System.Double,System.Boolean)","Rotates a sub-assembly"
"M:AlibreScript.API.Assembly.RotateSubAssembly(AlibreX.IADOccurrence,System.Double,System.Double,System.Double,System.Boolean)","Rotates a sub-assembly"
"M:AlibreScript.API.Assembly.RotateParts(IronPython.Runtime.List,System.Double,System.Double,System.Double,System.Boolean)","Rotates a set of parts"
"M:AlibreScript.API.Assembly.RotateSubAssemblies(IronPython.Runtime.List,System.Double,System.Double,System.Double,System.Boolean)","Rotates a set of sub-assemblies"
"M:AlibreScript.API.Assembly.AddNewSubAssembly(System.String,System.Double,System.Double,System.Double)","Adds a new sub-assembly to the assembly"
"M:AlibreScript.API.Assembly.AddSubAssembly(AlibreScript.API.Assembly)","Adds a sub-assembly to the assembly at the origin"
"M:AlibreScript.API.Assembly.AddSubAssembly(AlibreScript.API.Assembly,System.Double,System.Double,System.Double)","Adds a sub-assembly to the assembly"
"M:AlibreScript.API.Assembly.AddSubAssembly(AlibreScript.API.Assembly,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Adds a sub-assembly to the assembly"
"M:AlibreScript.API.Assembly.AddSubAssembly(System.String,System.String)","Adds a sub-assembly to the assembly at the origin"
"M:AlibreScript.API.Assembly.AddSubAssembly(System.String,System.String,System.Double,System.Double,System.Double)","Adds a sub-assembly to the assembly"
"M:AlibreScript.API.Assembly.AddSubAssembly(System.String,System.String,System.Double,System.Double,System.Double,System.Double,System.Double,System.Double,System.Boolean)","Adds a sub-assembly to the assembly"
"M:AlibreScript.API.Assembly.AddSubAssembly(System.String)","Adds a sub-assembly to the assembly at the origin"
"P:AlibreScript.API.AssembledSubAssembly.Name","Name of the subassembly"
"P:AlibreScript.API.AssembledSubAssembly.Configurations","A list of configurations defined on the assembly"
"P:AlibreScript.API.Assembly.Parameters","A list of parameters defined on the assembly"
"P:AlibreScript.API.Assembly.Parts","A list of parts defined on the assembly"
"P:AlibreScript.API.Assembly.SubAssemblies","A list of subassemblies defined on the assembly"
"P:AlibreScript.API.Assembly.FileName","Path and filename of the assembly"
"P:AlibreScript.API.Assembly.XYPlane","Gets the XY-plane (language independent)"
"P:AlibreScript.API.Assembly.YZPlane","Gets the YZ-plane (language independent)"
"P:AlibreScript.API.Assembly.ZXPlane","Gets the ZX-plane (language independent)"
"P:AlibreScript.API.Assembly.XAxis","Gets the X-axis (language independent)"
"P:AlibreScript.API.Assembly.YAxis","Gets the Y-axis (language independent)"
"P:AlibreScript.API.Assembly.ZAxis","Gets the Z-axis (language independent)"
"P:AlibreScript.API.Assembly.Origin","Gets the origin (language independent)"
"P:AlibreScript.API.Assembly.Selections","Gets the currently selected items as [ItemA, ItemB, ...] Supports subassemblies, parts, faces, edges, vertices, planes, axes and points"
"P:AlibreScript.API.Assembly.Comment","Comment property"
"P:AlibreScript.API.Assembly.CostCenter","Cost center property"
"P:AlibreScript.API.Assembly.CreatedBy","Created By property"
"P:AlibreScript.API.Assembly.CreatedDate","Created Date property"
"P:AlibreScript.API.Assembly.CreatingApplication","Creating Application property"
"P:AlibreScript.API.Assembly.DocumentNumber","Document Number property"
"P:AlibreScript.API.Assembly.EngineeringApprovalDate","Engineering Approval Date property"
"P:AlibreScript.API.Assembly.EngineeringApprovedBy","Engineering Approved By property"
"P:AlibreScript.API.Assembly.EstimatedCost","Estimated Cost property"
"P:AlibreScript.API.Assembly.Keywords","Keywords property"
"P:AlibreScript.API.Assembly.LastAuthor","Last Author property"
"P:AlibreScript.API.Assembly.LastUpdateDate","Last Update Date property"
"P:AlibreScript.API.Assembly.ExtendedMaterialInformation","Material (extended information) property"
"P:AlibreScript.API.Assembly.ManufacturingApprovedBy","Manufacturing Approved By property"
"P:AlibreScript.API.Assembly.ManufacturingApprovedDate","Product property"
"P:AlibreScript.API.Assembly.ModifiedInformation","Modified Information property"
"P:AlibreScript.API.Assembly.Product","Product property"
"P:AlibreScript.API.Assembly.ReceivedFrom","Received From property"
"P:AlibreScript.API.Assembly.Revision","Revision property"
"P:AlibreScript.API.Assembly.StockSize","Stock Size property"
"P:AlibreScript.API.Assembly.Supplier","Supplier property"
"P:AlibreScript.API.Assembly.Title","Title property"
"P:AlibreScript.API.Assembly.Vendor","Vendor property"
"P:AlibreScript.API.Assembly.WebLink","Web Link property"
"P:AlibreScript.API.Assembly.Density","Density of the part"
"P:AlibreScript.API.Assembly.Material","Material of the part"
"P:AlibreScript.API.Assembly.Description","Description of the part"
"P:AlibreScript.API.Assembly.Number","User-defined number for the part"
"M:AlibreScript.API.Axis.GetPart","Gets the part that the axis is defined on"
"M:AlibreScript.API.Axis.GetSelectionAssembly","The assembly that the edge was selected on Only valid when a selection has been made"
"M:AlibreScript.API.Axis.Hide","Hides the axis"
"M:AlibreScript.API.Axis.Show","Shows the axis"
"P:AlibreScript.API.Axis.Name","The name of the axis"
"M:AlibreScript.API.Bspline3D.GetX(System.Double)","Gets the X value of the spline at a location along the spline"
"M:AlibreScript.API.Bspline3D.GetY(System.Double)","Gets the Y value of the spline at a location along the spline"
"M:AlibreScript.API.Bspline3D.GetZ(System.Double)","Gets the Z value of the spline at a location along the spline"
"M:AlibreScript.API.Bspline3D.GetPointAt(System.Double)","Gets a point on the spline"
"M:AlibreScript.API.Bspline3D.GetNormalAt(System.Double)","Gets the normal vector at a point on the spline"
"M:AlibreScript.API.Bspline3D.Subdivide(System.Int32)","Divides the Bspline up into segments"
"M:AlibreScript.API.Bspline3D.SubdivideGetNormals(System.Int32)","Divides the Bspline up into segments and gets the normal for each point"
"M:AlibreScript.API.Bspline3D.#ctor(System.Int32,IronPython.Runtime.List,IronPython.Runtime.List,IronPython.Runtime.List,System.Boolean)","Creates a bspline"
"P:AlibreScript.API.Bspline3D.ControlPoints","The control points [x1, y1, ..., xn, yn]"
"P:AlibreScript.API.Bspline3D.Weights","The weights [w1, w2, ..., wn]"
"P:AlibreScript.API.Bspline3D.KnotVectors","The knot vectors [k1, k2, ..., kn]"
"P:AlibreScript.API.Bspline3D.IsReference","True if the bspline is a reference bspline, false if it is a regular bspline"
"P:AlibreScript.API.Bspline3D.Order","The order of the bspline"
"P:AlibreScript.API.Bspline3D.Length","Gets the length of the Bspline"
"M:AlibreScript.API.Bspline.GetX(System.Double)","Gets the X value of the spline at a location along the spline"
"M:AlibreScript.API.Bspline.GetY(System.Double)","Gets the Y value of the spline at a location along the spline"
"M:AlibreScript.API.Bspline.GetPointAt(System.Double)","Gets a point on the spline"
"M:AlibreScript.API.Bspline.GetNormalAt(System.Double)","Gets the normal vector at a point on the spline"
"M:AlibreScript.API.Bspline.Subdivide(System.Int32)","Divides the Bspline up into segments"
"M:AlibreScript.API.Bspline.#ctor(System.Int32,IronPython.Runtime.List,IronPython.Runtime.List,IronPython.Runtime.List,System.Boolean)","Creates a bspline"
"P:AlibreScript.API.Bspline.ControlPoints","The control points [x1, y1, ..., xn, yn]"
"P:AlibreScript.API.Bspline.Weights","The weights [w1, w2, ..., wn]"
"P:AlibreScript.API.Bspline.KnotVectors","The knot vectors [k1, k2, ..., kn]"
"P:AlibreScript.API.Bspline.IsReference","True if the bspline is a reference bspline, false if it is a regular bspline"
"P:AlibreScript.API.Bspline.Order","The order of the bspline"
"P:AlibreScript.API.Bspline.Length","Gets the length of the Bspline"
"M:AlibreScript.API.Circle.#ctor(IronPython.Runtime.List,System.Double,System.Boolean)","Creates a 2D circle which can be added to sketches"
"P:AlibreScript.API.Circle.CenterPoint","The center of the circle as a sketch point"
"P:AlibreScript.API.Circle.Center","The center of the circle [x, y]"
"P:AlibreScript.API.Circle.Radius","Radius of the circle"
"P:AlibreScript.API.Circle.IsReference","True if the circle is a reference circle, false if it is a regular circle"
"P:AlibreScript.API.Circle.Length","The length of the circle circumference in script units"
"M:AlibreScript.API.CircularArc3D.#ctor(IronPython.Runtime.List,IronPython.Runtime.List,IronPython.Runtime.List,System.Boolean)","Creates an arc using the center, start point and end point"
"M:AlibreScript.API.CircularArc3D.#ctor(IronPython.Runtime.List,IronPython.Runtime.List,System.Double,System.Boolean)","Creates an arc using the center, start point and an angle"
"P:AlibreScript.API.CircularArc3D.Center","The center of the arc [x, y, z]"
"P:AlibreScript.API.CircularArc3D.StartPoint","The start point of the arc [x, y, z]"
"P:AlibreScript.API.CircularArc3D.EndPoint","The end point of the arc [x, y, z]"
"P:AlibreScript.API.CircularArc3D.Radius","Radius of arc"
"P:AlibreScript.API.CircularArc3D.Angle","Angle of arc"
"P:AlibreScript.API.CircularArc3D.Type","Type of arc"
"P:AlibreScript.API.CircularArc3D.IsReference","True if the arc is a reference arc, false if it is a regular arc"
"T:AlibreScript.API.CircularArc3D.ArcType","Types of circular arcs"
"M:AlibreScript.API.CircularArc.#ctor(IronPython.Runtime.List,IronPython.Runtime.List,IronPython.Runtime.List,System.Boolean)","Creates an arc using the center, start point and end point"
"M:AlibreScript.API.CircularArc.#ctor(IronPython.Runtime.List,IronPython.Runtime.List,System.Double,System.Boolean)","Creates an arc using the center, start point and an angle"
"P:AlibreScript.API.CircularArc.Center","The center of the arc [x, y]"
"P:AlibreScript.API.CircularArc.StartPoint","The start point of the arc [x, y]"
"P:AlibreScript.API.CircularArc.EndPoint","The end point of the arc [x, y]"
"P:AlibreScript.API.CircularArc.Start","The start point as a sketchpoint object"
"P:AlibreScript.API.CircularArc.End","The end point as a sketchpoint object"
"P:AlibreScript.API.CircularArc.CenterPoint","The center point as a sketchpoint object"
"P:AlibreScript.API.CircularArc.Radius","Radius of arc"
"P:AlibreScript.API.CircularArc.Angle","Angle of arc"
"P:AlibreScript.API.CircularArc.Type","Type of arc"
"P:AlibreScript.API.CircularArc.IsReference","True if the arc is a reference arc, false if it is a regular arc"
"T:AlibreScript.API.CircularArc.ArcType","Types of circular arcs"
"M:AlibreScript.API.CSharp.CompileAndRun(System.String)","Compiles and runs C# code"
"M:AlibreScript.API.CSharp.CompileAndRun(System.String,IronPython.Runtime.PythonDictionary)","Compiles and runs C# code"
"M:AlibreScript.API.CSharp.Compile(System.String)","Compiles C# code"
"M:AlibreScript.API.CSharp.Run(Microsoft.CodeAnalysis.Scripting.Script{System.Object[]})","Runs compiled C# code"
"M:AlibreScript.API.CSharp.Run(Microsoft.CodeAnalysis.Scripting.Script{System.Object[]},IronPython.Runtime.PythonDictionary)","Runs compiled C# code"
"M:AlibreScript.API.Ellipse.#ctor(IronPython.Runtime.List,System.Double,System.Double,System.Double,System.Boolean)","Creates an ellipse"
"P:AlibreScript.API.Ellipse.Center","The center of the ellipse [x, y]"
"P:AlibreScript.API.Ellipse.CenterPoint","The center point as a sketchpoint object"
"P:AlibreScript.API.Ellipse.Radius","Radius on major axis"
"P:AlibreScript.API.Ellipse.MajorAxisAngle","Angle of major axis"
"P:AlibreScript.API.Ellipse.MinorMajorRatio","Ratio of minor radius to major radius"
"P:AlibreScript.API.Ellipse.IsReference","True if the ellipse is a reference ellipse, false if it is a regular ellipse"
"M:AlibreScript.API.EllipticalArc.#ctor(IronPython.Runtime.List,IronPython.Runtime.List,IronPython.Runtime.List,System.Double,System.Double,System.Double,System.Boolean)","Creates an elliptical arc"
"P:AlibreScript.API.EllipticalArc.Center","The center of the elliptical arc [x, y]"
"P:AlibreScript.API.EllipticalArc.StartPoint","The start point of the arc [x, y]"
"P:AlibreScript.API.EllipticalArc.EndPoint","The end point of the arc [x, y]"
"P:AlibreScript.API.EllipticalArc.CenterPoint","The center point as a sketchpoint object"
"P:AlibreScript.API.EllipticalArc.Start","The start point as a sketchpoint object"
"P:AlibreScript.API.EllipticalArc.End","The end point as a sketchpoint object"
"P:AlibreScript.API.EllipticalArc.Radius","Radius on major axis"
"P:AlibreScript.API.EllipticalArc.MajorAxisAngle","Angle of major axis"
"P:AlibreScript.API.EllipticalArc.MinorMajorRatio","Ratio of minor radius to major radius"
"P:AlibreScript.API.EllipticalArc.IsReference","True if the elliptical arc is a reference elliptical arc, false if it is a regular elliptical arc"
"M:AlibreScript.API.GlobalParameters.GetParameter(System.String)","Gets a parameter with a specific name"
"M:AlibreScript.API.GlobalParameters.GetConfiguration(System.String)","Gets a configuration with a specific name"
"M:AlibreScript.API.GlobalParameters.GetActiveConfiguration","Gets the currently active configuration"
"M:AlibreScript.API.GlobalParameters.AddParameter(System.String,AlibreScript.API.ParameterTypes,System.Double)","Adds a parameter to the global parameters set"
"M:AlibreScript.API.GlobalParameters.AddParameter(System.String,AlibreScript.API.ParameterTypes,System.String)","Adds a parameter to the global parameters set"
"M:AlibreScript.API.GlobalParameters.AddConfiguration(System.String)","Adds a configuration to the global parameters set"
"M:AlibreScript.API.GlobalParameters.AddConfiguration(System.String,System.String)","Adds a configuration to the global parameters set using another configuration as a base"
"M:AlibreScript.API.GlobalParameters.Save","Saves the global parameters set using the current path and file name"
"M:AlibreScript.API.GlobalParameters.Save(System.String)","Saves the global parameters set to a specific folder"
"M:AlibreScript.API.GlobalParameters.SaveAs(System.String,System.String)","Saves the global parameters set to a specific folder with a new name"
"M:AlibreScript.API.GlobalParameters.Close","Closes the global parameters set If it is unsaved then changes will be lost"
"M:AlibreScript.API.GlobalParameters.#ctor(System.String,System.String)","Opens an existing global parameters set"
"M:AlibreScript.API.GlobalParameters.#ctor(System.String)","Creates a new global parameters set"
"M:AlibreScript.API.GlobalParameters.#ctor(System.String,System.Boolean)","Creates a new global parameters set or accesses an already opened global parameters set"
"P:AlibreScript.API.GlobalParameters.Name","Name of the global parameters"
"P:AlibreScript.API.GlobalParameters.Parameters","A list of parameters"
"P:AlibreScript.API.GlobalParameters.Configurations","A list of configurations"
"M:AlibreScript.API.IAxis.GetOccurrence","Gets the part occurrence for this instance"
"M:AlibreScript.API.IPlane.GetOccurrence","Gets the part occurrence for this instance"
"M:AlibreScript.API.IPoint.PointObject","Low level object that represents the point"
"M:AlibreScript.API.IPoint.GetOccurrence","Gets the part occurrence for this instance"
"M:AlibreScript.API.Line3D.#ctor(IronPython.Runtime.List,IronPython.Runtime.List,System.Boolean)","Creates a new 3D line"
"P:AlibreScript.API.Line3D.StartPoint","The start point of the line [x, y, z]"
"P:AlibreScript.API.Line3D.EndPoint","The end point of the line [x, y, z]"
"P:AlibreScript.API.Line3D.IsReference","True if the line is a reference line, false if it is a regular line"
"P:AlibreScript.API.Line3D.Length","The length of the line in script units"
"P:AlibreScript.API.Line3D.Start","The start point as a sketchpoint object"
"P:AlibreScript.API.Line3D.End","The end point as a sketchpoint object"
"M:AlibreScript.API.Polyline3D.AddPoint(AlibreScript.API.PolylinePoint3D)","Adds a new point to the polyline"
"M:AlibreScript.API.Polyline3D.InsertPoint(System.Int32,AlibreScript.API.PolylinePoint3D)","Inserts a point at a specific location"
"M:AlibreScript.API.Polyline3D.AddPolyline(AlibreScript.API.Polyline3D)","Appends a line to the current line"
"M:AlibreScript.API.Polyline3D.IsPointOnLine(AlibreScript.API.PolylinePoint3D,AlibreScript.API.PolylinePoint3D,AlibreScript.API.PolylinePoint3D,System.Double)","Determines if a point is on a line segment"
"M:AlibreScript.API.Polyline3D.SplitAtPoint(AlibreScript.API.PolylinePoint3D,System.Double)","Splits a polyline at a point, creating two polylines"
"M:AlibreScript.API.Polyline3D.Clone","Creates an exact copy of the line"
"M:AlibreScript.API.Polyline3D.Clone(System.Int32,System.Int32)","Creates an exact copy of a section of the line"
"M:AlibreScript.API.Polyline3D.Join(AlibreScript.API.Polyline3D)","Joins a line onto the end of the current line and returns the new line"
"M:AlibreScript.API.Polyline3D.Offset(System.Double,System.Double,System.Double)","Applies an offset to all points on the line"
"M:AlibreScript.API.Polyline3D.RemoveDuplicates","Removes duplicate points that are next to each other"
"M:AlibreScript.API.Polyline3D.#ctor","Creates a new 3D polyline that can be later added to a 3D sketch"
"M:AlibreScript.API.Polyline3D.#ctor(IronPython.Runtime.List)","Creates a new 3D polyline that can be later added to a 3D sketch"
"M:AlibreScript.API.PolylinePoint3D.Offset(System.Double,System.Double,System.Double)","Applies an offset to the point and creates a new point"
"M:AlibreScript.API.PolylinePoint3D.Scale(System.Double,System.Double,System.Double,System.Double)","Scales the point location based on an origin for the scaling"
"M:AlibreScript.API.PolylinePoint3D.#ctor","Creates a new polyline point"
"M:AlibreScript.API.PolylinePoint3D.#ctor(System.Double,System.Double,System.Double)","Creates a new 3D polyline point"
"F:AlibreScript.API.PolylinePoint3D.X","X coordinate"
"F:AlibreScript.API.PolylinePoint3D.Y","Y coordinate"
"F:AlibreScript.API.PolylinePoint3D.Z","Z coordinate"
"M:AlibreScript.API.TwoD.RotatePoint(IronPython.Runtime.List,System.Double)","Rotates a point"
"M:AlibreScript.API.TwoD.GetPerpendicularVector(IronPython.Runtime.List)","Gets a vector that is perpendicular to a vector"
"M:AlibreScript.API.TwoD.NormalizeVector(IronPython.Runtime.List)","Normalizes a vector"
"T:AlibreScript.API.WindowsInputTypes","Type of Windows input"
"M:AlibreScript.API.Windows.CloseForm(System.String)","Close all currently open forms for a specific session"
"M:AlibreScript.API.Windows.GetDisplayedForm(System.String)","Gets the currently displayed form for a specific session"
"M:AlibreScript.API.Windows.UtilityDialog(System.String,System.String,System.Object,System.Object,IronPython.Runtime.List,System.Int32)","Shows a dialog prompting the user to enter values The dialog remains open until the user clicks on the close button A callback function is called to give the input values to the script"
"M:AlibreScript.API.Windows.UtilityDialog(System.String,System.String,System.Object,System.Object,IronPython.Runtime.List,System.Int32,System.Object)","Shows a dialog prompting the user to enter values The dialog remains open until the user clicks on the close button A callback function is called to give the input values to the script"
"M:AlibreScript.API.Windows.OptionsDialog(System.String,IronPython.Runtime.List,System.Int32)","Shows a dialog prompting the user to enter values"
"M:AlibreScript.API.Windows.OptionsDialog(System.String,IronPython.Runtime.List,System.Int32,System.Object,System.Object)","Shows a dialog prompting the user to enter values"
"M:AlibreScript.API.Windows.DisableInput(System.Int32)","Disables an input"
"M:AlibreScript.API.Windows.EnableInput(System.Int32)","Enables an input"
"M:AlibreScript.API.Windows.GetInputValue(System.Int32)","Gets the current value of an input"
"M:AlibreScript.API.Windows.SetStringList(System.Int32,System.Object)","Updates the list of strings for a stringlist input"
"M:AlibreScript.API.Windows.SetInputValue(System.Int32,System.Object)","Sets the current value for an input"
"M:AlibreScript.API.Windows.OpenFileDialog(System.String,System.String,System.String)","Prompts user to select a file"
"M:AlibreScript.API.Windows.SaveFileDialog(System.String,System.String,System.String)","Prompts user to save a file"
"M:AlibreScript.API.Windows.SelectFolderDialog(System.String,System.String)","Prompts the user to select a folder"
"M:AlibreScript.API.Windows.InfoDialog(System.String,System.String)","Shows an information window"
"M:AlibreScript.API.Windows.ErrorDialog(System.String,System.String)","Shows an error window"
"M:AlibreScript.API.Windows.QuestionDialog(System.String,System.String)","Shows a question window"
